,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
37419,C&D ZODIAC,3588,Double Last Row ,41122005-103,,,
37420,C&D ZODIAC,3589,Double Last Row ,41122005-104,,,
37421,C&D ZODIAC,3590,Double Exit Row ,41122005-105,,,
37422,C&D ZODIAC,3591,Double Exit Row ,41122005-106,,,
37423,C&D ZODIAC,3592,Double FWD Exit Row,41122005-107,,,
37424,C&D ZODIAC,3593,Double FWD Exit Row,41122005-108,,,
37425,C&D ZODIAC,3594,Double Front  Row,41242005-101,,,
37426,C&D ZODIAC,3595,Double Front  Row,41242005-102,,,
37427,C&D ZODIAC,3596,Double Standard Seat Assembly,41192033-101,,,
37428,C&D ZODIAC,3597,Double Standard Seat Assembly,41192033-102,,,
37429,C&D ZODIAC,3598,Double FWD Exit Seat  Assembly,41192033-103,,,
37430,C&D ZODIAC,3599,Double FWD Exit Seat  Assembly,41192033-104,,,
37431,C&D ZODIAC,3600,Double AFT Exit Seat  Assembly,41192033-105,,,
37432,C&D ZODIAC,3601,Double AFT Exit Seat  Assembly,41192033-106,,,
37433,C&D ZODIAC,3602,Double Last Row Seat  Assembly,41192033-107,,,
37434,C&D ZODIAC,3603,Double Last Row Seat  Assembly,41192033-108,,,
37435,C&D ZODIAC,3604,Double Front  Row Seat  Assembly,41202033-101,,,
37436,C&D ZODIAC,3605,Double Front  Row Seat  Assembly,41202033-102,,,
37437,C&D ZODIAC,3606,Double Standard Seat Assembly,41192032-101,,,
37438,C&D ZODIAC,3607,Double Standard Seat Assembly,41192032-102,,,
37439,C&D ZODIAC,3608,Double FWD Exit Seat  Assembly,41192032-103,,,
37440,C&D ZODIAC,3609,Double FWD Exit Seat  Assembly,41192032-104,,,
37441,C&D ZODIAC,3610,Double AFT Exit Seat  Assembly,41192032-105,,,
37442,C&D ZODIAC,3611,Double AFT Exit Seat  Assembly,41192032-106,,,
37443,C&D ZODIAC,3612,Double Last Row Seat  Assembly,41192032-107,,,
37444,C&D ZODIAC,3613,Double Last Row Seat  Assembly,41192032-108,,,
37445,C&D ZODIAC,3614,Double Front  Row Seat  Assembly,41202032-101,,,
37446,C&D ZODIAC,3615,Double Front  Row Seat  Assembly,41202032-102,,,
37447,C&D ZODIAC,3617,Standart Bottom Cushion Assembly,41191142-557,,,
37448,C&D ZODIAC,3618,Standard Bottom Cushion Assembly,41191142-559,,,
37449,C&D ZODIAC,3619,Double Standard Seat Assembly,41192035-101,,,
37450,C&D ZODIAC,3620,Double Standard Seat Assembly,41192035-102,,,
37451,C&D ZODIAC,3621,Double FWD Exit Seat Assembly,41192035-103,,,
37452,C&D ZODIAC,3622,Double FWD Exit Seat Assembly,41192035-104,,,
37453,C&D ZODIAC,3623,Double AFT Exit Seat Assembly,41192035-105,,,
37454,C&D ZODIAC,3624,Double AFT Exit Seat Assembly,41192035-106,,,
37455,C&D ZODIAC,3625,Double Last Row Seat Assembly,41192035-107,,,
37456,C&D ZODIAC,3626,Double Last Row Seat Assembly,41192035-108,,,
37457,C&D ZODIAC,3627,Double Standard Seat Assembly with Headrests,41192035-111,,,
37458,C&D ZODIAC,3628,Double Standard Seat Assembly with Headrests,41192035-112,,,
37459,C&D ZODIAC,3629,Double Front Row Seat Assembly,41202035-101,,,
37460,C&D ZODIAC,3630,Double Front Row Seat Assembly,41202035-102,,,
37461,C&D ZODIAC,3631,FWD Attendant  Seat (AFT Facing),41131001-195,,,
37462,C&D ZODIAC,3632,AFT Attendant Seat (FWD Facing),41142001-147,,,
37463,C&D ZODIAC,3656,Double Standard Seat Assembly,41192026-111,,,
37464,C&D ZODIAC,3657,Double Standard Seat Assembly,41192026-112,,,
37465,C&D ZODIAC,3658,Double Front  Row Seat  Assembly,41202026-111,,,
37466,C&D ZODIAC,3659,Double Front  Row Seat  Assembly,41202026-112,,,
37467,C&D ZODIAC,3660,Double Standard Seat Assembly,41192036-101,,,
37468,C&D ZODIAC,3661,Double Standard Seat Assembly,41192036-102,,,
37469,C&D ZODIAC,3662,Double Last Row Seat  Assembly,41192036-103,,,
37470,C&D ZODIAC,3663,Double Last Row Seat  Assembly,41192036-104,,,
37471,C&D ZODIAC,3664,Double Front  Row Seat  Assembly,41202036-101,,,
